Dia dia
7 7
de de
SETEMBRO setembro
BRASILHA brasilha
vai ir
Tremer tremer
, ,
o o
STF stf
vai ir
sentir sentir
a o
força força
do de_o
POVO povo
UNIDO unir
lutando lutar
por por
LIBERDADE liberdade
e e
cansado cansado
dos de_o
desmandos desmando
do de_o
SUPREMO supremo
e e
do de_o
Congresso congresso
recheado rechear
de de
CORRUPTOS corrupto
que que
não não
representa representar
os o
anseios anseio
da de_o
sociedade sociedade
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
HASHTAG hashtag
#liberdadedeopiniao_h #liberdadedeopiniao_h
HASHTAG hashtag
#stfinimigodopovobrasileiro_h #stfinimigodopovobrasileiro_h
url url
