@Jacariana twitterhandle
O o
Senador senador
" "
alicate alicate
" "
é ser
bom bom
no em_o
que que
faz fazer
. .
. .
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
Queremos querer
a o
EXTINÇÃO extinção
do de_o
TSE tse
. .
Queremos querer
a o
LIVRE livre
Expressão expressão
da de_o
Opinião opinião
. .
Queremos querer
a o
LIBERDADE liberdade
dos de_o
presos preso
políticos político
! !
Queremos querer
a ela
RENUNCIA renunciar
dos de_o
petistas petista
travesti travesti
de de
juiz juiz
. .
