@danielPMERJ twitterhandle
P p
manter manter
a o
ordem ordem
, ,
o o
bandido bandido
do de_o
HASHTAG hashtag
#stf_h #stf_h
q q
cometeu cometer
esse esse
crime crime
contra contra
a o
liberdade liberdade
de de
expressão expressão
e e
democracia democracia
que que
deveria dever
ser ser
preso prender
. .
HASHTAG hashtag
#xandaodopcc_h #xandaodopcc_h
passou passar
dos de_o
limites limite
e e
se se
nada nada
for ser
feito fazer
, ,
a o
tendência tendência
é ser
piorar piorar
. .
Que que
seja ser
duramente duramente
punido punir
, ,
caso caso
exista existir
algum algum
ali ali
honesto honesto
