Alexandre alexandre
De de
Moraes moraes
estão estar
passando passar
dos de_o
limites limite
e e
chegou chegar
ao a_o
EXTREMO extremo
! !
! !
Caso caso
aconteça acontecer
algo algo
com com
o o
HASHTAG hashtag
#robertojefferson_h #robertojefferson_h
, ,
STF stf
SERÁ ser
PENALIZADO penalizar
PELO por_o
SEUS seu
ATOS ato
ABSUDO absudo
PELA por_o
LIBERDADE liberdade
DE de
EXPRESSÃO expressão
! !
! !
HASHTAG hashtag
#censuranuncamais_h #censuranuncamais_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
