Povo povo
brasileiro brasileiro
em em
um um
gesto gesto
claro claro
de de
q q
não não
abre abrir
mão mão
da de_o
liberdade liberdade
e e
apoio apoio
ao a_o
presidente presidente
Bolsonaro bolsonaro
handshake_e handshake_e
light_skin_tone_e light_skin_tone_e
flag_brazil_e flag_brazil_e
Brasília brasília
em em
07 @card@
/ /
09 @card@
/ /
21 21
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#liberdadedeexpressão_h #liberdadedeexpressão_h
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
url url
