@alexandre twitterhandle
Patético patético
e e
vergonhoso vergonhoso
! !
Respeitar respeitar
a o
constituição constituição
e e
ter ter
liberdade liberdade
de de
expressão expressão
, ,
isso isso
sim sim
é ser
democracia democracia
. .
Essa esse
" "
coisa coisa
" "
aí aí
, ,
que que
você você
defende defender
nada nada
mais mais
é ser
que que
autoritarismo autoritarismo
. .
HASHTAG hashtag
#ptnuncamais_h #ptnuncamais_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#stftemcandidato_h #stftemcandidato_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
