Não não
existe existir
mais muito
" "
Estado estado
de de
Democrático democrático
Direito direito
' '
' '
, ,
no em_o
Brasil brasil
, ,
quando quando
a o
liberdade liberdade
de de
expressão expressão
é ser
censurada censurar
, ,
a o
liberdade liberdade
de de
ir ir
e e
vir vir
é ser
limitada limitar
, ,
e e
a o
liberdade liberdade
de de
imprensa imprensa
é ser
calada calar
, ,
isso isso
é ser
um um
sinal sinal
que que
estamos estar
caminhando caminhar
para para
uma um
ditadura ditadura
judiciária judiciário
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
