Os o
ônibus ônibus
já já
estão estar
mais mais
de de
10 10
km km
de de
distância distância
das de_o
multidões multidão
, ,
só só
cresce crescer
! !
HASHTAG hashtag
#brasilnasruas_h #brasilnasruas_h
HASHTAG hashtag
#democracia_h #democracia_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#censuranuncamais_h #censuranuncamais_h
HASHTAG hashtag
#povounidojamaisseravencido_h #povounidojamaisseravencido_h
HASHTAG hashtag
#povonasruas_h #povonasruas_h
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
green_heart_e green_heart_e
flag_brazil_e flag_brazil_e
raising_hands_e raising_hands_e
url url
