Um um
absurdo absurdo
o o
que que
o o
Moraes moraes
fez fazer
com com
o o
jornalista jornalista
Allan allan
dos de_o
Santos santos
… …
Direito direito
ao a_o
sigilo sigilo
de de
fonte fonte
é ser
previsto prever
em em
códigos código
internacionais internacional
e e
é ser
base base
da de_o
liberdade liberdade
de de
imprensa imprensa
. .
Alguém alguém
tem ter
que que
parar parar
esse esse
STF stf
! !
HASHTAG hashtag
#stf_h #stf_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#jornalismo_h #jornalismo_h
