Que que
bom bom
ver ver
@JorgePontual twitterhandle
a a
favor favor
da de_o
liberdade liberdade
de de
expressão expressão
e e
a o
cara cara
dos de_o
jornalistas jornalista
militantes militante
da de_o
@GloboNews twitterhandle
não não
tem ter
preço preço
, ,
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
Cadê cadê
o o
@SenadoFederal twitterhandle
cadê cadê
@rpsenador twitterhandle
façam fazer
justiça justiça
pedindo pedir
o o
Impeachment impeachment
de de
Alexandre alexandre
de de
IMORAES imoraes
Já já
! !
! !
url url
