STF stf
é ser
a o
cúpula cúpula
dos de_o
desmandos desmando
no em_o
país país
, ,
onde onde
demonstram demonstrar
a a
cada cada
dia dia
quem quem
governa governar
o o
país país
. .
Só só
evidência evidência
que que
temos ter
um um
fantoche fantoche
na em_o
presidência presidência
amarrado amarrar
por por
togas toga
" "
SUPREMAS supremo
" "
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
HASHTAG hashtag
#democracia_h #democracia_h
HASHTAG hashtag
#presidentedarepublica_h #presidentedarepublica_h
HASHTAG hashtag
#liberdade_h #liberdade_h
url url
