Xandão xandão
o o
melhor bom
. .
clapping_hands_medium_skin_tone_e clapping_hands_medium_skin_tone_e
clapping_hands_medium_skin_tone_e clapping_hands_medium_skin_tone_e
clapping_hands_medium_skin_tone_e clapping_hands_medium_skin_tone_e
As o
pessoas pessoa
confundem confundir
a o
liberdade liberdade
de de
expressão expressão
com com
: :
PODER poder
MENTIR mentir
OU ou
XINGAR xingar
ALGUÉM alguém
A o
VONTADE vontade
. .
Whatsapp whatsapp
não não
vale valer
como como
livro livro
lido ler
galera galera
. .
Livro livro
não não
é ser
droga droga
! !
HASHTAG hashtag
#xandão_h #xandão_h
HASHTAG hashtag
#alexandredemoraes_h #alexandredemoraes_h
@alexandre twitterhandle
HASHTAG hashtag
#forabolsonaroesuaquadrilha_h #forabolsonaroesuaquadrilha_h
HASHTAG hashtag
#ladygaga_h #ladygaga_h
HASHTAG hashtag
#vailerbolsominion_h #vailerbolsominion_h
url url
