Todos todo
os o
brasileiros brasileiro
estão estar
perdendo perder
com com
o o
autoritarismo autoritarismo
que que
o o
STF stf
vem vir
impondo impor
, ,
o o
STF stf
tá estar
legislando legislar
e e
isso isso
tá estar
errado errar
. .
Se se
não não
nos nós
unirmos unir
para para
ir ir
contra contra
este este
autoritarismo autoritarismo
, ,
perderemos perder
a o
liberdade liberdade
de de
expressão expressão
. .
Acorda acordar
povo povo
, ,
o o
inimigo inimigo
é ser
o o
@STF_oficial twitterhandle
. .
. .
. .
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
url url
