Avisem avisar
ao a_o
Togados togado
que que
democracia democracia
se se
faz fazer
com com
liberdade liberdade
de de
expressão expressão
. .
Se se
não não
gostou gostar
da de_o
opinião opinião
, ,
se se
sentiu sentir
ofendido ofender
, ,
existe existir
meios meio
jurídicos jurídico
para para
pedir pedir
justiça justiça
. .
Calar calar
, ,
cancelar cancelar
, ,
banir banir
é é
crime crime
! !
HASHTAG hashtag
#stj_h #stj_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stf_h #stf_h
