Chega chegar
de de
censura censura
. .
Liberdade liberdade
de de
expressão expressão
para para
todos todo
. .
As o
pessoas pessoa
são ser
o o
q q
são ser
, ,
então então
quero querer
relembrar relembrar
ao a_o
povo povo
da de_o
toga toga
que que
sim sim
é ser
um um
ex- ex-
presidiário presidiário
, ,
vcs vcs
mesmos mesmo
tiraram tirar
o o
cargo cargo
de de
presidiário presidiário
, ,
ladrão ladrão
pq pq
não não
devolveu devolver
nada nada
para para
o o
Brasil brasil
. .
HASHTAG hashtag
#censuranao_h #censuranao_h
HASHTAG hashtag
#xandaoditador_h #xandaoditador_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
url url
