@RadioSavana twitterhandle
Lutamos lutar
pela por_o
liberdade liberdade
de de
expressão expressão
e e
respeito respeito
a a
ordem ordem
e e
à a_o
CF88 cf88
. .
Os o
ocupantes ocupante
do de_o
stf stf
contrariam contrariar
a o
regra regra
para para
soltar soltar
bandidos bandido
e e
traficantes traficante
, ,
e e
prendem prendar
o o
cidadão cidadão
de de
bem bem
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stfinimigodopovobrasileiro_h #stfinimigodopovobrasileiro_h
