@CNNBrasil twitterhandle
Contra contra
o o
governo governo
só só
tem ter
meia meia
dúzia dúzia
. .
A o
maioria maioria
esmagadora esmagador
é ser
de de
patriotas patriota
pró-governo pró-governo
, ,
vocês você
sabem saber
disso de_isso
. .
A o
Direita direita
também também
quer querer
respeito respeito
e e
liberdade liberdade
de de
expressão expressão
. .
Brasil brasil
, ,
justiça justiça
e e
liberdade liberdade
para para
TODOS todo
. .
HASHTAG hashtag
#dia07vaisergigantesco_h #dia07vaisergigantesco_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
flag_brazil_e flag_brazil_e
heart_suit_e heart_suit_e
