@alexandre twitterhandle
Não não
confiamos confiar
em em
vcs vcs
! !
Não não
queremos querer
vcs vcs
nos em_o
governando governar
! !
Estamos estar
com com
o o
nosso nosso
presidente presidente
! !
Chega chegar
desse de_esse
partido partido
político político
de de
oposição oposição
contra contra
o o
Brasil brasil
e e
os o
brasileiros brasileiro
! !
HASHTAG hashtag
#liberdadedeexpressaoplena_h #liberdadedeexpressaoplena_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
