Todos todo
nas em_o
ruas rua
pela por_o
nossa nosso
HASHTAG hashtag
#liberdade_h #liberdade_h
! !
E e
CONTRA contra
a o
HASHTAG hashtag
#ditaduradatoga_h #ditaduradatoga_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#dia07vaisergigante_h #dia07vaisergigante_h
PRECISAMOS precisar
DE de
MILHÕES milhão
DE de
PATRIOTAS patriota
NAS em_o
RUAS rua
! !
Não não
basta bastar
ser ser
grande grande
, ,
tem ter
que que
ser ser
GIGANTE gigante
! !
De de
tal tal
forma forma
que que
a o
extrema extremo
imprensa imprensa
militante militante
Bolsohater bolsohater
NÃO não
CONSIGA conseguir
MENTIR mentir
e e
ESCONDER esconder
url url
