@Basiliarodri twitterhandle
Sua seu
opinião opinião
é ser
tão tão
relevante relevante
quanto quanto
o o
lema lema
da de_o
bandeira bandeira
" "
Independência independência
ou ou
Morte morte
" "
. .
A o
liberdade liberdade
de de
expressão expressão
é ser
sagrada sagrar
, ,
assim assim
como como
a o
responsabilidade responsabilidade
por por
possíveis possível
crimes crime
cometidos cometer
no em_o
uso uso
dessa de_esse
liberdade liberdade
. .
Aceitar aceitar
censura censura
é ser
atacar atacar
a o
democracia democracia
! !
HASHTAG hashtag
#censuranao_h #censuranao_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
