@LRobertoBarroso twitterhandle
Supremo supremo
é ser
o o
povo povo
. .
Vcs vcs
querem querer
nos nós
calar calar
e e
tirar tirar
nossos nosso
direitos direito
. .
Liberdade liberdade
de de
expressão expressão
e e
voto voto
auditável auditável
já já
. .
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
Soltam soltar
bandidos bandido
e e
prendem prendar
cidadãos cidadão
… …
vergonha vergonha
dessa de_esse
corte corte
corrupta corrupto
. .
