Explique explicar
FUKIS fukis
do de_o
@STF_oficial twitterhandle
? ?
@LRobertoBarroso twitterhandle
@gilmarmendes twitterhandle
@alexandre twitterhandle
O o
que que
o o
conservadorismo conservadorismo
, ,
que que
só só
quer querer
respeito respeito
à a_o
constituição constituição
, ,
liberdade liberdade
de de
expressão expressão
, ,
oferece oferecer
de de
perigos perigo
para para
vocês você
, ,
desta de_este
corte corte
? ?
Hem hem
? ?
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
Vcs vcs
, ,
são ser
os o
MAIORES grande
RESPONSÁVEIS responsável
pelo por_o
caos caos
url url
