Se se
o o
indulto indulto
serviu servir
para para
perdoar perdoar
mensaleiros mensaleiro
, ,
por por
que que
não não
serve servir
para para
perdoar perdoar
uma um
deputado deputado
condenado condenar
pelo por_o
" "
crime crime
" "
de de
exercer exercer
seu seu
direito direito
de de
liberdade liberdade
de de
expressão expressão
e e
imunidade imunidade
parlamentar parlamentar
? ?
HASHTAG hashtag
#indulto_h #indulto_h
HASHTAG hashtag
#stflixo_h #stflixo_h
HASHTAG hashtag
#justiça_h #justiça_h
HASHTAG hashtag
#bolsonarotemrazão_h #bolsonarotemrazão_h
HASHTAG hashtag
#direitasergipana_h #direitasergipana_h
url url
