@STF_oficial twitterhandle
STF stf
só só
defende defender
corruptos corrupto
e e
vagabundos vagabundo
, ,
não não
respeita respeitar
o o
voto voto
de de
57 57
milhões milhão
de de
brasileiros brasileiro
, ,
ainda ainda
tem ter
a o
cara cara
de de
pau pau
de de
dizer dizer
que que
defende defender
a o
liberdade liberdade
de de
expressão expressão
. .
HIPÓCRITAS hipócrita
! !
O o
povo povo
viu ver
o o
que que
vcs vcs
fizeram fazer
com com
a o
liberdade liberdade
de de
expressão expressão
de de
alguns algum
jornalistas jornalista
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
