@Fer_nanda_JB22 twitterhandle
Ñ ñ
Ministro ministro
, ,
não não
são ser
, ,
são ser
os o
destruidores destruidor
dos de_o
direitos direito
dos de_o
brasileiros brasileiro
a a
liberdade liberdade
de de
expressão expressão
conquistada conquistar
a a
duras duro
pena pena
e e
vcs vcs
estão estar
tentando tentar
nos nós
tirar tirar
, ,
destruindo destruir
nossa nosso
democracia democracia
mas mas
isso isso
ira irar
acabar acabar
como como
toda todo
ditadura ditadura
não não
sobrevive sobreviver
a a
um um
povo povo
livre livre
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
