Sasinhora sasinhora
face_with_spiral_eyes_e face_with_spiral_eyes_e
A o
coisa coisa
tá estar
feia feio
, ,
HASHTAG hashtag
#brasil_h #brasil_h
! !
Censura censura
imposta impor
pelo por_o
HASHTAG hashtag
#tse_h #tse_h
? ?
police_car_light_e police_car_light_e
Senhor senhor
, ,
a a
que que
ponto ponto
chegamos chegar
! !
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#bolsonaropresidente22_h #bolsonaropresidente22_h
HASHTAG hashtag
#censura_h #censura_h
HASHTAG hashtag
#censuranão_h #censuranão_h
HASHTAG hashtag
#jovempancensurada_h #jovempancensurada_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
