@taoquei1 twitterhandle
Não não
chamem chamar
o o
Ale alar
de de
HASHTAG hashtag
#xandãodopcc_h #xandãodopcc_h
que que
vc vc
pode poder
terminar terminar
atrás atrás
das de_o
grades grade
Quando quando
resolvi resolver
cursar cursar
direito direito
, ,
não não
imaginava imaginar
que que
um um
dia dia
fôssemos ir
ficar ficar
sem sem
um um
órgão órgão
judicial judicial
que que
defendesse defender
a o
CF cf
e e
a o
nossa nosso
liberdade liberdade
de de
expressão expressão
. .
Que que
decepção decepção
! !
Podem poder
prender prender
o o
candidato candidato
antes antes
da de_o
eleição eleição
