Deus deus
, ,
Pátria pátria
e e
Família família
. .
Você você
é ser
contra contra
? ?
Teu teu
dia dia
de de
se se
manifestar manifestar
não não
é ser
dia dia
07 @card@
. .
Melhor bom
" "
ficar ficar
em em
casa casa
" "
. .
Manifestação manifestação
é ser
pelo por_o
fim fim
da de_o
HASHTAG hashtag
#ditaduradatoga_h #ditaduradatoga_h
, ,
pela por_o
HASHTAG hashtag
#liberdade_h #liberdade_h
. .
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
HASHTAG hashtag
#dia07vaisergigantesco_h #dia07vaisergigantesco_h
