@leandroruschel twitterhandle
Toooop toooop
de de
lindo lindo
Brasil brasil
face_screaming_in_fear_e face_screaming_in_fear_e
face_screaming_in_fear_e face_screaming_in_fear_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
HASHTAG hashtag
#7desetpelaliberdade_h #7desetpelaliberdade_h
HASHTAG hashtag
#eunaovoteinostf_h #eunaovoteinostf_h
HASHTAG hashtag
#stfcrasheddemocracyinbrazil_h #stfcrasheddemocracyinbrazil_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#diadaindependencia_h #diadaindependencia_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
chega chegar
de de
HASHTAG hashtag
#ditaduradatoga_h #ditaduradatoga_h
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
