@flaviocostaf twitterhandle
Tenho ter
certeza certeza
que que
os o
golpistas golpista
vai ir
falar falar
em em
liberdade liberdade
de de
expressão expressão
, ,
mas mas
onde onde
fica ficar
o o
separatismo separatismo
, ,
a o
xenofobia xenofobia
o o
direito direito
de de
ir ir
e e
vir vir
diante diante
de de
tais tal
atrocidades atrocidade
cometidos cometer
pelos por_o
que que
querem querer
a o
volta volta
da de_o
ditadura ditadura
se se
temos ter
um um
presidente presidente
eleito eleger
pelo por_o
voto voto
popular popular
? ?
HASHTAG hashtag
#xandao_h #xandao_h
tá estar
certo certo
