Deputado deputado
@ArthurLira_ twitterhandle
precisa precisar
corrigir corrigir
o o
discurso discurso
, ,
pois pois
a o
Constituição constituição
tem ter
sido ser
rasgada rasgar
a a
cada cada
decisão decisão
do de_o
STF stf
que que
não não
respeita respeitar
a o
separação separação
de de
poderes poder
ou ou
a o
liberdade liberdade
de de
expressão expressão
! !
! !
! !
HASHTAG hashtag
#vergonhainternacional_h #vergonhainternacional_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#camaraomissa_h #camaraomissa_h
