Mais mais
uma um
da de_o
ditatoga ditatoga
? ?
! !
Não não
sou ser
nada nada
fã fã
do de_o
@blogdojefferson twitterhandle
, ,
pois pois
sou ser
defensora defensor
ferrenha ferrenho
de de
uma um
pena pena
perpétua perpétuo
p p
/ /
político político
corrupto corrupto
. .
Mas mas
não não
concordo concordar
c c
/ /
o o
q q
HASHTAG hashtag
#cabecadeovo_h #cabecadeovo_h
está estar
fazendo fazer
c c
/ /
nossa nosso
liberdade liberdade
de de
expressão expressão
. .
Temos ter
a o
obrigação obrigação
moral moral
e e
civil civil
de de
irmos ir
p p
/ /
Brasília brasília
, ,
POR por
NÓS nós
! !
flexed_biceps_e flexed_biceps_e
