Só só
existe existir
democracia democracia
onde onde
a o
liberdade liberdade
de de
expressão expressão
é ser
garantida garantir
, ,
onde onde
a o
corte corte
suprema supremo
respeita respeitar
a o
Constituição constituição
e e
aplica aplicar
as o
leis lei
igualmente igualmente
para para
todos todo
. .
O o
STF stf
acabou acabar
com com
nossa nosso
democracia democracia
e e
cobra cobra
do de_o
povo povo
respeito respeito
ao a_o
que que
eles eles
destruíram destruir
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
url url
