Estamos estar
na em_o
ditadura ditadura
do de_o
STF stf
, ,
onde onde
não não
se se
pode poder
ter ter
o o
direito direito
da de_o
liberdade liberdade
de de
expressão expressão
tendo ter
suas seu
casas casa
invadidas invadir
pela por_o
polícia polícia
somente somente
por por
se se
expressar expressar
contra contra
o o
ditador ditador
que que
não não
foi ser
eleito eleger
pela por_o
democracia democracia
pelo por_o
voto voto
do de_o
povo povo
, ,
onde onde
o o
presidente presidente
eleito eleger
democraticamente democraticamente
! !
HASHTAG hashtag
#stfvergonha_h #stfvergonha_h
