@LulaOficial twitterhandle
Qual qual
a o
moral moral
que que
tem ter
o o
PT pt
em em
falar falar
sobre sobre
" "
Democracia democracia
" "
? ?
O o
mesmo mesmo
partido partido
que que
esses esse
dias dia
estava estar
aplaudindo aplaudir
a o
decisão decisão
do de_o
Supremo supremo
tribunal tribunal
eleitoral eleitoral
em em
limitar limitar
a o
liberdade liberdade
de de
expressão expressão
dos de_o
comentaristas comentarista
da de_o
JOVEN joven
PAN pan
. .
Lula lula
vergonha vergonha
HASHTAG hashtag
#lulaladrao_h #lulaladrao_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#jovenpan_h #jovenpan_h
