Supremo supremo
é ser
o o
Povo povo
. .
Alexandre alexandre
precisa precisar
de de
camisa camisa
de de
força força
. .
Ele ele
pirou pirar
total total
e e
isso isso
está estar
evidente evidente
. .
Ele ele
precisa precisar
de de
ajuda ajuda
psiquiátrica psiquiátrico
. .
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#dia07pelaliberdade_h #dia07pelaliberdade_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
url url
