@reinaldoazevedo twitterhandle
Qual qual
a o
novidade novidade
. .
Nosso nosso
Judiciário judiciário
é ser
militante militante
. .
Podem poder
chutar chutar
a o
cabeça cabeça
do de_o
Bolsonaro bolsonaro
, ,
chamar chamar
de de
Genocida genocida
, ,
esfaquear esfaquear
boneco boneco
de de
Bolsonaro bolsonaro
que que
é ser
liberdade liberdade
de de
expressão expressão
. .
No em_o
boteco boteco
falar falar
de de
Alexandre alexandre
, ,
dá dar
cadeia cadeia
. .
Falar falar
de de
PCC pcc
e e
PT pt
não não
pode poder
. .
Ativismo ativismo
judicial judicial
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
