@MarcosRogerio twitterhandle
Cara cara
político político
, ,
Vocês você
deveriam dever
se se
unir unir
para para
acabar acabar
com com
as o
babáreis babáreis
ações ação
ditatoriais ditatorial
sobre sobre
a o
livre livre
expressão expressão
que que
o o
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
estão estar
fazendo fazer
. .
. .
. .
Isso isso
é ser
um um
ABSURDO absurdo
. .
. .
. .
eles eles
arrebentaram arrebentar
a o
corda corda
a a
muito muito
tempo tempo
e e
vocês você
estão estar
fazendo fazer
pouco pouco
caso caso
disso de_isso
. .
