_NAME_	Factor1	Factor2	Factor3	Factor4	load	secondary
v000001	0.5705402286	0.5419328448	-0.334195506	-0.211482216	fac2	1
v000002	0.7198826224	0.5521633187	-0.354342662	-0.304641341	fac2	1
v000003	-0.175676208	-0.295689898	0.9729458361	0.8001042217	fac4	1
v000004	0.3294762095	-0.403520415	0.1342167036	0.835040194	fac2	1
v000005	0.5448408384	-0.352478588	-0.222373187	0.0617001841	fac2	1
v000006	0.8191436611	-0.077878213	-0.184999425	0.1853114735		
v000007	0.8344135861	-0.224897916	0.2927332666	-0.021444691		
v000008	0.5267286954	-0.242590481	0.5244484845	0.2076361409	fac3	1
v000009	0.8352798329	-0.235806124	-0.159361828	-0.051243877		
v000010	0.8125548236	-0.194414616	-0.268949621	0.3547513991	fac4	1
v000011	0.7411870396	-0.088432889	0.032311046	-0.542282185	fac4	1
v000012	0.6899178029	-0.055904199	-0.361328995	0.5621382922	fac4	1
v000013	0.701311834	0.0192461529	-0.032207347	0.0276332774		
v000014	0.5504069705	-0.126345169	-0.32717256	0.1831082198	fac3	1
v000016	0.5654321205	-0.135134367	-0.074056665	0.3437448342	fac4	1
v000017	0.4799196429	-0.236070349	-0.371694572	0.0540293544	fac3	1
v000018	-0.149605414	-0.131832634	-0.004823633	0.7031569042		
v000019	0.6595844899	-0.106629743	-0.261929847	-0.043607524		
v000020	0.6753175283	-0.166438425	-0.046218201	0.0246803297		
v000024	0.3343055428	-0.039317436	0.1044322583	0.6397799734	fac1	1
v000025	0.5401246083	-0.000380929	-0.02735679	0.0299287565		
v000026	0.6972630019	-0.191086281	0.4512091634	0.1326023135	fac3	1
v000027	0.3904535336	-0.219024945	-0.2449396	-0.052671638		
v000028	0.7387548288	-0.1032519	0.0133394903	-0.367271099	fac4	1
v000029	0.6812803407	0.0118216707	-0.204424291	0.0279602041		
v000030	0.4255434109	-0.305008295	-0.153800413	0.5504150907	fac1	1
v000031	0.6764277967	-0.138509095	-0.04343153	0.1904744417		
v000032	0.5093598711	-0.239897821	0.2433067351	-0.204650266		
v000033	0.4714451323	-0.189700318	-0.2300929	-0.022854521		
v000034	0.3401139629	-0.224353871	-0.121041833	0.2764580307		
v000035	0.5720294477	-0.061267509	-0.158614781	0.1428775319		
v000037	0.3645977804	-0.008277184	0.4922976179	0.3767768967	fac4	1
v000038	0.7381196513	-0.102321429	-0.006138821	-0.208580505		
v000039	0.7022025075	1.1379017781	0.5621138048	0.3744447143	fac1	1
v000040	0.6563235185	0.0505655661	0.0201818815	0.2402881091		
v000041	0.6132723839	-0.297247005	-0.109422593	0.1384688282		
v000042	0.5064757918	-0.318928297	0.1002240104	-0.475813309	fac4	1
v000043	0.3815483948	-0.119508353	-0.258767502	0.2142350674		
v000044	0.5662314782	-0.171531772	-0.129464849	0.0446628748		
v000045	0.4313289298	1.0646414821	-0.258397636	0.7231652642	fac4	1
v000046	0.6672060267	-0.016607854	0.0119741262	-0.420568415	fac4	1
v000047	0.3910788985	0.1152896142	-0.241831852	0.2360510077		
v000048	-0.076813085	-0.033318675	-0.030566279	0.1311614553		
v000049	0.744421019	-0.066090227	-0.069033329	-0.114314303		
v000050	0.6206642832	0.0954696585	0.014000138	-0.089775972		
v000055	0.4815718353	0.0860674654	0.4798131451	-0.222589616	fac3	1
v000056	0.5696728765	-0.051015811	0.0482965815	-0.321764149	fac4	1
v000057	0.4049151586	-0.180557109	-0.107054771	-0.192106105		
v000058	-0.274272041	-0.295789689	-0.500800067	0.80398637	fac3	1
v000059	0.4225334922	0.1163228411	0.0588352624	0.6245346938	fac1	1
v000064	0.4116946267	0.0737998434	0.1381726909	0.5893777985	fac1	1
v000067	0.6373985687	0.0272292952	0.1984026197	0.5312636764	fac4	1
v000070	0.7005386268	-0.228590721	-0.104870561	-0.128908034		
v000071	0.690548847	-0.020733653	0.4391672008	0.1891976104	fac3	1
v000072	0.0077689469	-0.425906462	-0.181066083	-0.085073023		
v000074	0.7586138268	0.1336304138	0.7287943072	0.0726558411	fac3	1
v000079	0.4449083617	0.0955985153	-0.169081892	0.3905961506	fac4	1
v000080	0.3966494584	-0.050884295	-0.124991848	-0.337879799	fac4	1
v000081	0.1271280501	-0.289692019	-0.314859433	-0.035841448		
v000082	0.1641548707	0.0696816492	-0.138984487	0.1191818123		
v000083	0.3968181611	-0.153207792	-0.017506818	-0.261538357		
v000085	0.3657284898	0.0551939211	-0.089100921	-0.056479659		
v000086	0.0187517875	0.007855662	0.4341505743	0.1713582097		
v000087	0.0788005854	-0.192627782	0.275572812	0.3863937471		
v000088	0.615539996	0.045463445	0.1130246761	-0.020175271		
v000089	0.2661483403	-0.127895374	0.0026444031	-0.284549032		
v000091	-0.106892601	-0.094979613	-0.247817861	0.1876189652		
v000095	0.5338871847	-0.075150277	0.0007124381	0.0428662807		
v000096	0.2632461274	0.0298975918	-0.277275316	0.1860347507		
v000100	0.2940052679	-0.173026916	-0.015593902	-0.233840426		
v000102	0.5132765392	0.0613578871	-0.103970496	0.1278266941		
v000103	-0.245210124	-0.022860091	1.1712427239	0.290569312		
v000105	0.4774340413	1.0986520674	0.0153874904	0.1162601924	fac1	1
v000106	0.1950699468	-0.169865198	-0.188460067	0.062279387		
v000108	0.1518484801	-0.282521421	-0.507047807	0.2226734058		
v000109	0.5488978102	-0.007181726	-0.160043143	0.2310329985		
v000110	0.3271021014	-0.211198919	-0.05601302	-0.01878154		
v000111	-0.083210578	0.0091215913	-0.026578346	0.5097522974		
v000112	0.4598086541	-0.125189846	-0.072090515	-0.06909		
v000114	0.3142536217	-0.125431507	0.8051445941	0.1289642873	fac1	1
v000117	-0.220430818	-0.012660828	1.1867389097	0.2481126426		
v000119	0.4581326067	-0.059930081	-0.028286161	-0.057874905		
v000121	0.0044580049	-0.263555804	-0.121219956	0.0336749976		
v000126	0.4531674628	-0.00854421	-0.0822847	-0.021406359		
v000129	0.1139738859	-0.128980852	-0.072967981	-0.134490523		
v000130	0.0391121281	-0.005148504	-0.259072691	0.010153316		
v000131	0.1687580778	-0.112209402	0.1792631181	-0.557594191		
v000135	0.0170989539	0.0055905541	-0.127641543	-0.079944734		
v000139	0.129737179	0.0926285023	0.1091289933	0.1688443434		
v000143	0.306227743	-0.044852982	0.0329046982	-0.535638285	fac1	1
