file	fac1	fac2	fac3	fac4
t000000	2	0	0	0
t000001	0	0	1	0
t000002	0	0	2	0
t000003	0	-1	1	0
t000004	0	-1	1	0
t000005	0	-1	0	0
t000006	0	-1	1	0
t000007	-1	0	0	1
t000008	4	1	0	0
t000009	0	0	0	1
t000010	1	-1	1	1
t000011	3	0	2	1
t000013	0	0	1	0
t000015	1	0	1	1
t000016	1	0	0	1
t000017	2	0	2	1
t000018	1	0	1	0
t000019	0	0	0	1
t000020	-1	0	2	0
t000021	0	0	-1	1
t000022	0	0	0	1
t000023	2	0	1	0
t000024	3	1	2	2
t000025	0	0	3	0
t000026	0	0	0	1
t000027	0	0	1	0
t000029	-3	0	0	4
t000030	0	0	1	0
t000031	-5	0	1	4
t000032	-3	0	1	4
t000033	5	0	0	0
t000034	0	0	0	0
t000035	-1	0	1	1
t000036	0	0	0	0
t000037	2	0	1	1
t000038	2	0	1	0
t000039	4	0	1	0
t000040	0	0	1	0
t000041	-1	0	0	1
t000043	6	0	0	0
t000044	0	0	0	1
t000045	0	0	0	0
t000046	5	0	0	2
t000047	6	0	1	0
t000048	0	-1	0	0
t000049	2	0	0	1
t000050	0	0	0	0
t000051	0	0	0	0
t000052	0	0	1	0
t000053	0	0	0	0
t000054	0	0	1	1
t000055	0	0	0	1
t000057	0	0	1	0
t000058	0	0	1	1
t000060	1	0	1	0
t000061	0	0	0	0
t000063	0	0	3	0
t000064	0	0	0	1
t000065	-1	0	0	1
t000068	1	0	-2	0
t000069	0	0	0	0
t000072	0	0	0	0
t000073	0	0	0	0
t000074	0	0	0	1
t000075	2	0	1	1
t000076	1	0	-1	1
t000078	0	0	0	0
t000079	-1	0	0	1
t000080	1	0	0	1
t000081	0	0	2	1
t000082	5	0	1	0
t000083	6	1	0	2
t000084	-2	0	-2	0
t000085	0	0	0	0
t000086	0	0	1	0
t000087	-1	0	0	0
t000088	0	0	1	0
t000089	1	0	0	0
t000090	2	1	0	0
t000091	0	0	0	1
t000092	0	0	0	0
t000093	0	0	0	0
t000094	0	0	0	1
t000095	1	0	0	2
t000096	0	0	0	1
t000097	0	0	0	4
t000098	6	0	0	0
t000100	6	0	1	0
t000101	2	0	1	1
t000102	2	0	0	0
t000105	0	0	-1	0
t000106	4	0	-1	3
t000107	6	0	0	0
t000108	0	0	2	1
t000109	1	0	0	0
t000110	1	0	1	3
t000111	1	0	0	0
t000112	-2	0	3	0
t000113	-1	0	3	0
t000114	-1	0	3	1
t000115	-1	0	3	0
t000116	-1	0	3	0
t000117	0	-1	1	0
t000118	0	0	0	0
t000119	0	0	1	0
t000120	-2	0	3	0
t000121	1	0	1	1
t000122	0	0	1	1
t000124	2	0	0	0
t000125	2	0	1	1
t000128	0	0	0	0
t000129	2	0	0	1
t000130	0	0	1	0
t000131	3	0	-1	1
t000132	3	0	-1	1
t000133	5	0	0	0
t000134	0	0	1	0
t000135	0	0	1	0
t000136	0	0	0	1
t000137	0	0	1	0
t000138	0	0	0	1
t000139	0	0	1	0
t000140	2	0	1	1
t000141	0	0	1	2
t000142	-1	0	0	0
t000144	1	1	0	1
t000145	-1	0	0	0
t000146	0	0	0	0
t000147	-1	0	1	0
t000148	-2	0	0	0
t000149	-2	0	0	0
t000150	3	0	1	1
t000151	1	0	3	0
t000152	3	0	0	0
t000153	-1	1	1	2
t000154	1	0	1	1
t000156	1	0	0	0
t000157	0	0	0	2
t000158	0	0	0	0
t000159	0	0	1	0
t000160	0	0	0	2
t000161	0	0	0	2
t000162	0	0	0	1
t000163	2	0	1	2
t000164	1	0	0	0
t000165	0	0	1	1
t000167	-2	0	0	1
t000168	1	0	1	1
t000169	-2	0	0	1
t000171	1	0	1	1
t000172	1	0	1	0
t000173	2	0	0	1
t000174	3	0	2	0
t000175	1	0	1	0
t000177	6	0	0	1
t000178	0	0	0	1
t000179	0	0	0	1
t000180	-1	0	0	0
t000181	3	0	1	1
t000182	0	0	0	0
t000183	2	0	3	2
t000184	0	0	0	1
t000185	0	0	0	1
t000186	3	0	0	0
t000187	0	0	0	2
t000189	1	0	0	0
t000190	0	0	0	1
t000192	0	0	0	0
t000193	-1	0	0	0
t000194	1	0	0	0
t000195	-1	0	0	0
t000196	2	0	1	0
t000197	0	0	2	0
t000198	2	0	1	0
t000199	0	0	0	0
t000200	-1	0	0	0
t000201	0	0	3	1
t000202	1	0	0	0
t000203	1	0	2	0
t000204	0	0	0	0
t000205	4	0	1	1
t000206	1	0	0	0
t000207	6	1	4	0
t000209	2	0	1	1
t000210	2	0	4	3
t000211	7	1	2	0
t000212	4	-1	2	0
t000213	0	0	1	0
t000215	1	0	1	0
t000216	8	1	2	0
t000217	0	0	0	0
t000218	2	0	1	0
t000219	4	0	3	1
t000220	2	0	3	1
t000221	0	0	0	1
t000222	0	0	0	0
t000223	2	0	0	1
t000225	2	0	1	0
t000226	1	0	0	0
t000227	0	0	3	0
t000228	0	0	0	1
t000230	5	0	2	0
t000231	0	0	0	1
t000234	0	0	0	1
t000235	5	1	2	0
t000237	1	0	0	1
t000238	5	1	2	1
t000239	1	0	0	2
t000240	0	0	0	0
t000241	1	0	0	0
t000242	2	0	0	1
t000243	1	0	0	0
t000244	0	0	1	1
t000245	2	0	0	2
t000246	3	0	0	1
t000247	0	0	0	0
t000248	2	0	1	0
t000250	3	0	0	0
t000251	0	0	1	1
t000252	2	0	0	-1
t000254	0	0	0	1
t000255	1	0	1	0
t000256	0	0	0	1
t000257	0	0	0	1
t000259	2	0	2	0
t000260	1	-1	0	1
t000261	0	0	0	1
t000262	0	0	0	0
t000263	2	0	1	0
t000264	2	0	1	0
t000265	0	0	0	1
t000266	6	0	0	2
t000267	1	0	1	0
t000268	2	1	0	0
t000269	1	0	0	1
t000270	0	0	0	1
t000271	2	0	-1	0
t000272	0	0	1	0
t000273	1	0	0	2
t000274	2	0	-1	0
t000275	4	0	0	2
t000276	2	0	0	3
t000277	0	0	1	0
t000278	0	0	1	0
t000279	0	0	1	0
t000280	0	0	0	1
t000281	0	0	2	0
t000282	-1	0	0	2
t000285	1	1	0	1
t000286	3	0	0	1
t000287	1	0	1	0
t000288	0	0	0	1
t000289	2	0	1	0
t000290	0	0	0	2
t000292	2	0	1	2
t000294	0	0	5	0
t000295	0	0	0	0
t000296	2	0	0	0
t000297	0	0	0	0
t000298	0	0	1	0
t000302	1	0	1	0
t000303	0	0	1	0
t000304	-1	0	0	0
t000305	0	0	0	0
t000306	5	0	0	0
t000307	0	0	0	0
t000309	0	0	5	0
t000310	2	-1	1	3
t000311	2	0	0	1
t000312	2	0	0	0
t000313	-1	0	0	0
t000314	1	-1	0	-3
t000315	3	0	0	0
t000316	3	0	1	0
t000317	4	1	0	1
t000318	0	0	1	1
t000319	0	0	0	1
t000320	1	0	0	0
t000321	-1	0	0	1
t000322	0	1	0	1
t000323	1	0	0	2
t000324	1	0	0	0
t000325	2	0	0	0
t000326	0	0	0	3
t000327	1	0	0	0
t000328	1	0	0	0
t000329	2	0	0	1
t000330	4	0	0	1
t000331	3	0	0	0
t000332	1	0	0	1
t000333	4	0	0	0
t000334	3	0	0	0
t000335	0	0	3	0
t000336	0	0	1	0
t000337	0	0	0	0
t000338	5	1	0	0
t000339	9	0	1	0
t000340	8	0	0	0
t000341	0	0	0	0
t000342	6	1	1	0
t000343	1	0	1	0
t000344	1	0	0	0
t000345	-1	0	0	0
t000346	5	0	0	0
t000347	3	0	0	2
t000348	1	0	0	1
t000349	1	0	0	1
t000350	3	0	0	0
t000351	0	0	1	1
t000352	5	0	0	0
t000353	-1	0	0	0
t000354	2	0	1	1
t000355	0	0	-1	1
t000356	3	1	-3	2
t000357	4	1	-1	2
t000358	5	0	0	0
t000360	1	0	0	1
t000361	4	0	0	0
t000362	7	0	0	1
t000363	2	0	0	1
t000364	0	0	1	0
t000365	3	0	0	1
t000366	6	0	0	0
t000367	0	0	0	0
t000368	2	-1	1	0
t000369	6	0	0	1
t000370	4	0	0	0
t000371	-1	0	0	1
t000372	0	0	1	1
t000373	6	0	0	2
t000374	0	0	0	0
t000375	7	0	0	0
t000376	3	0	0	1
t000377	2	0	0	0
t000378	2	0	0	0
t000379	2	0	0	1
t000380	0	0	0	0
t000381	0	0	0	0
t000383	3	0	0	0
t000385	0	0	0	0
t000387	4	0	-1	1
t000389	3	0	1	0
t000390	3	0	0	0
t000391	3	0	0	0
t000393	0	0	0	0
t000395	1	0	0	0
t000396	0	0	0	1
t000397	0	0	0	2
t000398	2	0	1	0
t000399	2	0	1	1
t000400	1	0	0	3
t000401	1	0	0	1
t000402	0	0	0	0
t000403	0	0	0	0
t000404	3	0	0	0
t000405	0	0	0	0
t000406	0	0	0	0
t000407	0	0	0	0
t000408	3	0	0	0
t000409	2	0	0	0
t000410	2	0	0	0
t000411	0	0	0	0
t000412	4	0	0	0
t000413	2	0	0	0
t000414	8	0	0	2
t000415	5	0	0	0
t000416	2	0	0	1
t000417	1	0	0	0
t000418	3	0	0	0
t000419	2	0	0	0
t000420	0	0	2	0
t000421	3	0	0	0
t000422	4	0	0	-1
t000423	0	0	0	0
t000424	3	0	0	0
t000425	0	0	0	0
t000426	0	0	0	0
t000427	0	0	0	0
t000428	0	0	0	0
t000429	4	0	0	0
t000430	5	0	0	0
t000431	4	0	0	1
t000432	3	0	0	0
t000433	2	0	0	0
t000434	3	0	0	0
t000435	2	0	1	0
t000436	3	0	0	0
t000438	5	1	1	1
t000439	5	1	1	1
t000440	3	0	0	-1
t000441	5	0	0	0
t000442	5	0	0	0
t000443	6	0	0	0
t000444	3	0	0	1
t000445	5	-1	1	0
t000446	6	0	0	0
t000447	0	0	0	0
t000448	2	0	0	0
t000449	3	0	0	1
t000450	3	0	1	4
t000451	2	0	0	1
t000452	6	0	0	0
t000453	0	0	0	0
t000454	0	0	0	0
t000455	0	0	1	0
t000456	0	0	0	2
t000457	-1	0	0	0
t000458	0	0	0	1
t000459	0	0	0	1
t000460	1	0	0	1
t000461	0	0	0	1
t000462	0	0	0	1
t000463	0	0	0	1
t000464	0	0	0	1
