file	fac1	fac2	fac3	fac4
t000465	0	0	0	0
t000466	0	0	0	0
t000467	0	0	0	0
t000468	0	0	0	1
t000469	1	0	0	1
t000470	1	0	0	0
t000471	1	0	0	0
t000472	0	0	0	1
t000473	1	0	0	0
t000474	-1	0	0	0
t000475	6	0	0	0
t000476	1	0	0	0
t000477	1	0	0	0
t000478	2	0	0	0
t000479	2	0	0	0
t000480	1	0	1	0
t000481	1	0	1	0
t000482	2	0	-1	0
t000483	0	0	0	0
t000484	0	0	0	0
t000485	0	0	0	0
t000486	2	0	0	0
t000487	2	0	1	0
t000488	2	0	0	0
t000489	3	0	0	0
t000490	0	0	0	0
t000491	5	0	0	0
t000492	3	0	-1	0
t000493	0	0	0	0
t000494	0	0	0	0
t000495	2	0	0	0
t000496	0	0	0	0
t000497	4	0	0	0
t000498	2	0	0	0
t000499	0	0	0	0
t000500	2	0	0	0
t000501	1	0	0	1
t000502	0	0	0	0
t000503	7	0	-2	1
t000504	3	0	0	0
t000506	0	0	0	0
t000508	0	0	0	0
t000509	2	0	1	0
t000510	0	0	0	0
t000511	2	0	0	0
t000512	0	0	1	0
t000515	1	0	0	0
t000516	5	0	1	1
t000520	1	0	0	0
t000521	0	0	0	0
t000522	0	0	0	0
t000523	0	0	0	0
t000524	0	0	1	0
t000525	0	0	0	0
t000526	1	0	0	0
t000527	4	1	0	0
t000529	4	0	1	1
t000530	0	0	0	0
t000531	4	0	0	1
t000532	3	0	0	0
t000533	0	0	0	0
t000534	5	0	0	0
t000535	0	0	0	0
t000536	2	0	0	-1
t000537	2	0	0	0
t000538	5	0	0	-3
t000539	0	0	0	1
t000540	0	0	0	1
t000541	0	0	0	1
t000542	0	0	0	1
t000543	0	0	0	0
t000544	5	0	-1	0
t000545	3	0	0	0
t000546	3	0	0	0
t000547	3	0	0	0
t000548	5	0	0	1
t000549	4	0	0	-1
t000552	0	0	0	0
t000554	4	0	0	0
t000556	2	0	0	0
t000558	0	0	0	0
t000559	1	1	0	0
t000560	6	0	0	0
t000561	3	0	1	0
t000562	1	0	1	0
t000563	1	0	0	0
t000564	0	0	0	0
t000565	-1	0	0	-1
t000566	0	0	0	0
t000567	4	0	0	0
t000569	4	0	0	1
t000570	5	1	0	0
t000571	4	0	0	0
t000573	4	0	0	0
t000574	4	0	0	0
t000575	-1	0	0	0
t000576	3	0	0	0
t000577	0	0	0	0
t000581	4	0	-1	1
t000582	1	0	0	0
t000583	1	0	0	0
t000585	1	0	0	1
t000587	0	0	0	0
t000588	2	0	0	0
t000589	0	0	0	0
t000590	3	1	0	1
t000591	1	0	0	0
t000592	8	0	0	0
t000593	1	-1	0	0
t000594	1	0	0	0
t000597	5	0	0	0
t000598	3	0	0	0
t000599	3	-1	0	0
t000600	4	0	0	1
t000601	7	0	0	0
t000602	0	0	0	0
t000603	1	0	0	1
t000604	0	0	0	1
t000605	0	0	0	0
t000606	4	0	0	0
t000607	0	0	0	0
t000608	3	0	0	0
t000609	3	0	0	0
t000610	1	0	0	0
t000611	2	0	0	0
t000612	3	0	0	0
t000613	2	0	1	1
t000615	1	0	-1	-2
t000616	6	0	-1	0
t000617	2	0	0	0
t000618	1	0	0	0
t000619	5	0	0	0
t000620	6	0	0	0
t000621	5	1	0	0
t000622	4	1	0	0
t000623	6	0	0	0
t000624	1	0	0	0
t000625	6	0	0	0
t000626	1	0	0	0
t000627	4	0	-1	-1
t000628	3	0	0	0
t000630	2	0	0	-1
t000631	1	0	1	0
t000632	9	0	0	0
t000633	1	0	1	1
t000634	1	0	1	0
t000635	2	0	1	0
t000637	1	0	1	0
t000638	4	0	0	-1
t000639	0	0	0	0
t000640	4	0	0	-2
t000641	0	0	1	0
t000642	5	0	0	-2
t000643	1	0	0	0
t000644	5	0	0	0
t000645	6	0	0	0
t000646	3	0	1	0
t000647	-1	0	0	0
t000649	2	-1	0	0
t000650	3	0	0	1
t000651	0	0	0	0
t000652	3	0	0	0
t000654	-1	0	0	0
t000655	0	0	0	1
t000656	3	0	0	0
t000657	4	0	0	0
t000658	4	0	0	0
t000659	2	0	0	0
t000660	3	0	0	0
t000661	0	0	0	0
t000663	0	0	0	0
t000664	5	0	0	0
t000665	6	0	0	2
t000666	3	0	0	1
t000667	8	0	0	0
t000668	3	0	0	0
t000669	1	0	0	0
t000670	3	0	0	0
t000671	4	0	0	0
t000672	2	0	0	0
t000673	3	0	0	0
t000674	3	0	0	0
t000675	2	0	0	0
t000676	1	0	0	0
t000679	0	0	0	0
t000680	5	0	0	0
t000682	5	0	0	0
t000683	4	0	0	0
t000684	4	0	0	0
t000685	5	0	0	0
t000686	4	0	0	0
t000687	2	1	0	1
t000688	3	0	0	1
t000689	0	0	0	0
t000690	0	0	0	0
t000691	0	0	0	0
t000692	1	0	-1	0
t000693	1	0	1	0
t000694	0	0	2	0
t000695	2	0	0	0
t000696	1	0	0	0
t000697	2	0	2	2
t000698	5	0	0	0
t000699	2	0	0	1
t000700	1	0	0	0
t000701	3	0	0	0
t000702	0	0	0	1
t000703	1	0	0	-1
t000704	1	0	0	1
t000705	1	0	1	0
t000706	1	0	1	0
t000707	0	0	0	1
t000708	3	0	0	0
t000709	0	0	0	0
t000710	3	0	0	0
t000711	0	0	0	1
t000713	3	0	0	0
t000714	4	0	0	0
t000715	3	0	0	0
t000716	-1	0	2	0
t000717	2	0	0	0
t000718	1	0	0	0
t000720	-1	0	0	0
t000721	4	0	0	0
t000722	0	0	0	0
t000724	4	0	0	0
t000725	-1	0	0	0
t000726	5	0	0	-1
t000727	2	0	0	0
t000729	-1	0	0	0
t000730	0	0	0	0
t000731	1	0	0	0
t000732	3	0	0	0
t000733	7	0	1	0
t000734	3	0	0	0
t000735	0	0	0	0
t000736	2	0	0	0
t000738	5	0	0	1
t000739	9	0	0	0
t000740	1	0	1	1
t000741	2	0	0	0
t000742	-1	0	0	0
t000743	1	0	0	0
t000744	1	0	0	-1
t000745	4	0	0	0
t000746	2	0	0	0
t000747	3	0	0	0
t000749	4	0	0	0
t000750	2	0	0	0
t000751	3	0	0	0
t000753	1	0	1	0
t000755	0	-1	0	0
t000756	0	0	0	0
t000757	3	0	0	-1
t000758	3	-1	0	0
t000759	5	0	0	0
t000760	0	0	1	0
t000761	2	0	0	0
t000762	6	1	0	0
t000763	2	0	0	0
t000764	4	0	0	0
t000765	2	0	0	0
t000766	0	0	0	0
t000767	4	0	0	1
t000768	3	0	0	0
t000769	3	0	0	-2
t000770	3	-1	0	0
t000771	1	0	1	0
t000772	4	0	0	0
t000773	3	0	0	0
t000774	6	0	0	-1
t000775	6	0	0	0
t000776	4	0	0	-2
t000777	0	0	1	0
t000778	1	0	0	0
t000779	0	0	0	0
t000780	4	0	0	0
t000781	4	0	0	0
t000782	3	0	0	0
t000783	5	0	0	0
t000784	6	0	-1	0
t000785	6	0	0	1
t000786	2	0	1	0
t000787	3	0	0	0
t000788	2	0	0	1
t000789	1	0	0	0
t000790	1	0	0	0
t000791	1	-1	-1	1
t000792	4	0	0	0
t000793	2	2	0	0
t000794	3	0	0	0
t000795	3	0	0	0
t000796	4	0	0	0
t000797	4	0	0	0
t000798	2	0	0	0
t000799	3	0	1	1
t000800	6	0	0	1
t000801	4	0	0	0
t000802	2	0	0	0
t000803	6	0	0	0
t000804	3	0	0	0
t000805	6	0	1	0
t000806	2	0	0	0
t000807	4	0	0	0
t000808	2	0	0	0
t000809	5	0	0	0
t000810	2	0	0	0
t000811	2	0	0	0
t000812	2	0	0	0
t000813	5	0	0	0
t000814	4	0	0	0
t000815	6	0	0	-1
t000816	3	0	1	0
t000818	5	0	-1	0
t000820	2	0	0	0
t000821	3	0	0	0
t000823	5	0	0	0
t000824	3	0	0	0
t000827	7	0	0	0
t000828	0	0	1	0
t000829	2	0	0	0
t000830	4	0	0	1
t000831	0	0	0	0
t000832	5	0	0	0
t000833	6	0	0	1
t000834	5	0	0	-1
t000835	4	1	0	0
t000836	3	0	0	0
t000837	2	0	0	0
t000838	6	0	0	-1
t000839	5	1	-1	2
t000840	5	1	-1	2
t000841	5	0	-1	1
t000842	6	0	0	0
t000843	4	1	0	2
t000844	4	0	0	0
t000845	4	1	1	1
t000846	3	0	0	0
t000847	4	0	1	0
t000848	4	0	0	0
t000849	8	1	0	-1
t000850	2	0	0	0
t000851	8	0	0	-3
t000852	4	1	0	1
t000853	3	0	0	0
t000854	3	0	0	0
t000855	3	0	0	0
t000856	3	0	0	1
t000857	2	0	1	0
t000858	5	0	0	0
t000859	4	0	0	0
t000860	3	2	0	0
t000861	2	0	0	0
t000862	4	0	0	0
t000863	2	0	0	-1
t000864	5	0	0	1
t000865	5	0	0	1
t000866	5	0	0	0
t000867	1	0	0	1
t000868	2	0	0	0
t000869	2	0	0	0
t000870	4	0	0	0
t000871	1	0	0	0
t000873	0	0	0	1
t000874	5	0	0	1
t000875	5	0	0	1
t000876	5	1	0	1
t000877	2	0	0	0
t000878	9	0	0	0
t000879	4	0	-3	0
t000880	4	0	-2	0
t000881	4	0	0	0
t000882	6	0	0	0
t000883	2	0	0	0
t000884	3	0	0	0
t000885	4	0	0	0
t000886	3	0	0	0
t000887	2	0	0	0
t000888	4	0	0	-1
t000889	2	0	0	0
t000890	3	0	0	0
t000891	3	0	0	0
t000892	4	0	0	1
t000893	3	0	0	0
t000894	3	0	0	0
t000896	2	0	0	0
t000897	3	-1	0	0
t000898	1	0	0	0
t000899	3	0	1	0
t000900	5	0	0	1
t000901	3	0	0	0
t000902	4	0	0	0
t000903	0	-1	0	0
t000904	2	0	0	0
t000905	9	0	0	0
t000906	5	0	-2	0
t000907	5	0	-2	0
t000909	4	0	0	0
t000910	5	0	0	0
t000913	4	1	0	0
t000914	4	0	0	0
t000915	0	0	0	0
t000916	6	1	0	1
t000919	3	0	0	0
t000920	2	0	0	0
t000921	5	0	0	-1
t000922	5	-1	0	-1
t000923	3	0	1	-2
t000924	5	0	1	0
t000925	6	0	-1	0
t000926	3	0	0	0
t000927	3	0	-1	0
t000928	1	0	0	0
t000929	0	0	0	-1
t000931	0	0	0	3
t000932	1	0	-1	-1
t000933	7	0	-2	1
t000934	2	0	0	1
t000935	1	0	0	0
t000936	5	0	0	0
t000937	5	0	0	0
t000940	2	0	1	-2
t000941	2	0	1	0
t000942	0	0	0	1
t000943	7	0	0	0
t000944	3	0	0	0
t000945	4	0	0	0
t000946	4	-1	-3	1
t000947	3	-1	-3	1
t000948	1	0	0	-1
t000949	4	0	0	0
t000950	2	0	0	0
t000951	1	0	0	0
t000952	5	0	1	0
t000953	4	0	0	0
t000954	1	0	0	0
t000955	4	0	0	0
t000956	1	0	0	0
t000957	0	0	0	0
t000958	2	0	0	0
t000959	3	1	0	-1
t000960	7	0	0	0
t000961	2	0	0	1
t000962	1	0	0	0
t000963	2	0	0	1
t000964	0	0	0	0
t000965	2	0	0	0
t000966	2	0	0	0
t000967	3	0	0	0
t000968	0	0	0	0
t000969	6	0	0	0
t000970	2	0	0	0
t000971	1	0	0	0
t000972	1	0	0	0
t000973	1	0	0	0
t000974	1	1	0	0
t000977	3	0	0	0
t000978	9	0	0	1
t000979	6	0	0	0
t000980	3	0	0	0
t000981	5	1	0	0
t000982	6	0	0	0
t000984	7	0	0	0
t000985	5	0	0	0
t000986	4	0	0	0
t000987	2	0	0	0
t000988	7	0	0	1
t000989	3	0	0	0
t000990	7	1	0	0
t000991	7	0	0	0
t000992	2	0	0	0
t000993	4	0	0	0
t000994	4	0	0	0
t000995	4	0	0	0
t000996	2	0	0	0
t000997	4	0	0	0
t000998	0	0	0	0
t000999	0	0	0	0
t001000	4	1	0	1
t001001	4	1	0	2
t001002	2	0	0	0
t001003	4	0	0	0
t001004	1	0	0	0
t001005	2	0	1	0
t001006	2	0	-1	0
t001007	2	0	0	0
t001008	-1	0	0	0
t001009	1	0	0	1
t001010	1	1	0	0
t001011	2	0	0	0
t001012	4	0	1	1
t001013	1	0	0	0
t001014	2	0	0	0
t001015	4	0	0	0
t001016	1	0	0	0
t001017	6	0	0	0
t001018	7	0	0	1
t001019	5	0	0	0
t001020	1	0	0	0
t001021	5	0	0	0
t001023	6	0	0	0
t001024	8	0	0	0
t001025	7	0	0	0
t001026	0	0	0	0
t001027	10	0	0	-1
t001028	4	0	0	0
t001029	0	0	0	0
t001030	1	0	0	-1
t001031	-1	0	0	0
t001032	6	0	0	0
t001033	3	0	0	0
t001034	2	0	0	0
t001035	0	0	0	0
t001036	0	0	0	0
t001037	1	0	0	1
t001038	6	0	0	2
t001039	0	0	0	1
t001041	-1	0	0	1
t001042	2	1	0	0
t001043	1	0	0	0
t001044	6	0	0	0
t001045	3	0	1	2
t001046	6	0	0	0
t001048	0	0	0	0
t001049	4	0	0	0
t001050	4	0	1	0
t001051	2	0	0	0
t001052	0	0	-1	0
t001053	4	0	0	0
t001054	2	0	0	0
t001055	5	0	0	0
t001056	1	0	0	1
t001057	1	0	0	1
t001058	5	0	0	0
t001059	4	0	0	0
t001061	1	0	1	1
t001062	0	0	0	0
t001063	2	0	0	0
t001064	8	0	0	1
t001065	1	0	1	0
t001066	3	0	0	0
t001067	4	0	0	-1
t001068	4	0	0	-1
t001069	4	0	1	1
t001070	4	0	0	0
t001071	6	0	-1	1
t001072	0	0	0	0
t001073	3	0	0	0
t001074	5	1	0	0
t001075	0	-1	-1	0
t001076	5	0	0	-2
t001077	3	1	0	1
t001078	1	0	1	1
t001080	4	0	0	1
t001081	3	0	0	0
t001082	3	1	0	0
t001083	4	0	0	-1
t001084	6	0	0	0
t001085	1	0	0	0
t001086	3	0	-1	0
t001087	0	0	0	1
t001088	1	0	12	1
t001089	2	0	0	0
t001091	2	0	0	0
t001092	1	0	1	1
t001093	0	0	0	0
t001094	4	0	0	-3
t001096	4	0	0	-1
t001097	3	0	0	-1
t001099	1	0	0	0
t001100	5	0	0	0
t001101	2	0	4	0
t001102	4	0	0	0
t001103	3	0	0	0
t001104	0	0	0	0
t001105	1	0	0	0
t001106	3	0	0	0
t001107	0	0	0	0
t001108	0	0	0	0
t001109	2	0	0	2
t001110	3	0	0	2
t001111	5	0	0	0
t001112	2	0	0	0
t001113	7	0	-2	0
t001114	2	0	3	1
t001115	2	14	0	0
t001116	2	14	0	0
t001117	8	0	0	-1
t001118	5	0	0	-1
t001119	4	1	0	0
t001120	2	13	0	0
t001121	2	13	0	0
t001122	4	0	0	-3
t001123	5	0	0	-1
t001124	4	0	0	0
t001125	2	0	0	0
t001126	5	0	0	0
t001127	7	0	0	0
t001129	3	0	0	0
t001130	6	0	0	1
t001131	6	0	0	0
t001132	4	0	0	0
t001133	6	0	0	0
t001134	5	0	0	0
t001135	7	0	-1	1
t001136	3	0	0	0
t001137	7	0	0	-1
t001138	5	0	0	0
t001139	0	0	0	0
t001140	0	0	0	0
t001141	5	0	0	0
t001142	1	0	0	0
t001143	0	0	0	-1
t001144	4	0	0	0
t001145	1	0	0	0
t001146	1	0	1	0
t001147	1	0	1	0
t001148	3	0	0	0
t001149	3	0	0	0
t001150	5	0	0	0
t001151	5	0	0	-2
t001152	4	0	0	0
t001153	1	0	0	0
t001154	3	0	0	0
t001155	2	0	0	0
t001156	4	0	0	0
t001157	0	0	0	0
t001158	1	0	0	-2
t001159	6	0	0	-1
t001160	9	0	0	0
t001161	5	0	0	1
t001162	5	0	-1	0
t001163	3	0	0	0
t001164	4	1	0	0
t001165	2	0	-1	0
t001166	3	0	0	0
t001167	2	0	0	0
t001168	5	0	-1	0
t001169	4	0	0	0
t001170	4	0	0	0
t001171	2	0	0	-1
t001172	1	0	0	0
t001173	7	0	0	1
t001174	3	0	0	1
t001175	2	0	0	1
t001176	5	0	0	0
t001177	3	0	0	0
t001178	11	0	0	1
t001179	1	0	0	0
t001180	5	0	0	0
t001181	4	0	0	0
t001182	2	0	1	1
t001183	1	0	0	1
t001184	7	0	0	1
t001185	-1	0	0	0
t001186	0	0	2	1
t001187	0	-1	0	0
t001188	3	0	0	1
t001189	2	0	0	1
t001190	2	0	0	1
t001191	2	0	0	1
t001192	2	0	0	1
t001193	3	0	0	1
t001194	5	0	0	1
t001195	0	1	0	1
t001196	1	0	0	0
t001197	2	0	0	0
t001198	0	0	0	0
t001199	1	0	0	1
t001200	0	0	0	-1
t001201	1	0	0	0
t001204	3	0	0	0
t001205	2	0	1	0
t001206	5	0	1	1
t001207	6	1	0	1
t001208	3	0	-1	2
t001212	3	1	0	0
t001213	1	0	0	0
t001214	0	0	0	0
t001215	3	0	0	0
t001216	0	0	0	1
t001217	0	0	0	0
t001218	0	0	0	1
t001219	7	0	1	1
t001220	1	0	0	0
t001221	-2	0	0	1
t001222	4	0	0	1
t001223	0	0	0	2
t001224	5	1	2	0
t001225	6	1	0	0
t001226	2	0	2	0
t001227	4	0	0	0
t001228	2	0	0	0
t001229	6	0	0	0
t001230	6	0	0	1
t001231	3	0	0	1
t001232	8	0	0	1
t001233	1	0	1	1
t001235	3	-1	1	2
t001236	4	2	1	0
t001237	1	0	0	1
t001238	1	0	0	0
t001240	5	0	1	0
t001242	0	-1	1	0
t001243	1	0	0	0
t001244	0	-1	1	0
t001245	0	0	0	0
t001246	4	0	0	0
t001247	1	0	1	1
t001249	6	0	0	1
t001252	1	0	0	1
t001253	0	0	0	0
t001254	2	0	1	0
t001255	1	0	0	2
t001256	4	1	0	0
t001257	1	0	0	0
t001258	4	0	0	0
t001259	0	0	2	1
t001260	0	0	0	1
t001261	0	0	0	1
t001262	1	0	0	1
t001263	5	0	-1	1
t001264	2	0	0	1
t001265	4	0	2	0
t001266	2	0	0	0
t001267	0	0	1	0
t001268	0	0	0	1
t001270	6	0	0	1
t001271	3	0	1	1
t001272	8	0	0	0
t001273	1	0	0	0
t001274	0	0	0	0
t001275	3	0	0	1
