df_index	no_mention
000737	!!!  #Liberdade #stf #STFOrganizacaoCriminosa #religiao #Senado url
002029	!!! CONCLUSÃO DO RELATÓRIO !!!  VAMOS PRA RUA!!!  NÃO DESISTIREMOS DE NOSSA LIBERDADE!!!  #XandãoDoPcc #LulaLadrão #PtNuncaMais #LulaNaCadeia #LIBERDADE
001660	!!!7 DE SETEMBRO!!!  1. Ordem ilegal não se cumpre; 2. Rodrigo Pacheco é o culpado; 3. 7 de setembro será gigante.  #LIBERDADE #ANossaBandeiraJamaisSeráVermelha #BolsonaroNoPrimeiroTurno #stfvergonhamundial #EleiçõesLimpas url
001710	"!!!APOIO TOTAL!!!  Eu estou do lado da Constituição Federal!!! Eu estou do lado do deputado federal, Daniel Silveira, contra a desenfreada TIRANIA de Alexandre, ""O GLANDE""!!!  #EuApoioDanielSilveira #ApoioDanielSilveira #Liberdade #StfVergonhaMundial url"
000292	"""""Povo que não tem virtude acaba por ser escravo"" ""Verás que um filho teu não foge a luta""  Dia 7 vai ser Gigante #7deSetembroVaiSerGigante  #VotoDemocráticoAuditável  #Liberdadedeexpressão #Supremoéopovo #Democracia #Respeitoas4linhasdaConsntituição  #Deusnocontrole url"
000017	"""...Ou ficar a Pátria livre ou Morrer pelo Brasil..."" 🇧🇷🙌 #manifestaçãopacífica  #liberdadedeexpressão #SOSFFAA #democracia  #supremoéopovo em CMO Comando Militar do Oeste 9ª Região Militar url"
001194	"""A liberdade de expressão está sob ataque no Brasil"" o Mundo está vendo...   Ou ficar a pátria livre ou morrer pelo Brasil! #LiberdadeParaRobertoJefferson #XandãoDitador #XandaoDoPCC #STFRompeuADemocracia #STFVergonhaMundial #DireitaComOrgulho #Bolsonaro2022"
001086	"""Aiiiin, que legal... Calaram mais um Bolsonarista, ainda bem que só vão pegar eles!"" Aguarde passivamente inteligentinho!!! Quando tomarem o poder, você vai perceber a merda que fez para suas próximas gerações!!! #LiberdadeDeExpressão #LiberdadeSempre #stfrompeuademocracia url"
001412	"""Basta apenas uma geração abrir mão de sua liberdade e nós a perderemos para sempre."" (George Washington ao defender a liberdade de expressão nos USA). #Dia7VaiserGigante  Xandao não me prende! #STFRompeuADemocracia"
000998	"""Bruxa Lucifer"" contra os cristãos. #EuLeioAbiblia #LiberdadedeReligiao #STFOrganizacaoCriminosa  #STFRespeiteAConstituiçao url"
001322	"""Estou acostumado a ser livre!"" #0709EuVou  #LiberdadeNaoSeGanhaSeToma  #STFcrashedDemocracyInBrazil  #STFRompeuADemocracia url"
001444	"""Integrantes"", apaga que dá tempo.  🤭🤭🤭🤫🤫🤫🚨🚨🚨🚔🚔🚔🔗  Cadeia pra todo os usurpadores e tiranos contra o povo...  #STFRompeuADemocracia #LiberdadeDeExpressao  #Dia07VaiSerGIGANTE   Ajudem a subir essa aí:  #MaiorAtoDemocraticoDaHistoria  🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷📸📸📸📸"
001101	"""O que é Democracia senão Liberdade de Expressão.""!?? 🆘🇧🇷 #TRANSPARENCIA ✨💜🇧🇷 #DemocraciaEmFrangalhos 🆘🇧🇷 #STFRompeuADemocracia  #BrasilACORDOU TÁ VENDO TD É LASTIMÁVEL, DESCONSERTANTE, DESESPERADOR!!!!🆘💜🇧🇷 url"
000124	"""Opiniões são como cus meritissímo, cada um tem a sua."" (Larry Flynt) #liberdade #liberdadedeexpressão #supremoéopovo #foradoria #FechadoComBolsonaro url"
001475	"""Ou ficar a pátria livre, ou morrer pelo Brasil!!!""  Esse é o twit...  #Dia07VaiSerGIGANTE #LIBERDADE #DitaduraDaToga #STFRompeuADemocracia #BrasilAcimaDeTudoDeusAcimaDeTodos"
001132	"""Para conservadores, uma boa pá, uma boa bala e uma boa cova"" = liberdade de expressão  ""Acho que ministros do STF merecem impeachment"" = cadeia  🤡🤬💩 #STFRompeuADemocracia  #STFVergonhaNacional"
001114	"""Pau que nasce torto, nunca se endireita."" #EsquerdaCriminosa ⚙️🎭 #RachadinhaDoJanones  #TRANSPARENCIA ✨DA #LIBERDADE INERENTES À VERDADEIRA DEMOCRACIA #STFRompeuADemocracia  desde à posse do Pr..Ele avisou que iria pegar os mais importantes,foi d forma vil. 🆘🇧🇷 url"
000007	"""Pior que a corrupção generalizada, será o dia em que eles roubarem também nossa liberdade, propriedade privada e esperança!"" 🚨 PR Jair Bolsonaro  #DeusPatriaFamiliaLiberdade  #SupremoEoPovo  #ditaduradetoga  #Brazilwasstolen #VemProQuartel  #Liberdadenaoseganhasetoma #SOSFFAA url"
001696	"""Quando a liberdade de expressão nos é tirada, logo poderemos ser levados, como ovelhas, mudos e silenciosos, para o abate."" (George Washington)                  🌅🌵 BOM DIA! 🌅🌵 #IndultoDanielSilveira  #BolsonaroOrgulhoDoBrasil  #STFVergonhaMundial # url"
000014	"""SOCORRO,  GENERALDAVI! SOS FORÇASARMADAS!""  ""HELP US, GENERAL DAVI! SOS ARMED FORCES!""  #manifestaçãopacífica  #liberdade #SOSFFAA #democracia  #supremoéopovo em CMO Comando Militar do Oeste 9ª Região Militar url"
000016	"""SUPREMO É O POVO!"" #manifestaçãopacífica  #liberdade #SOSFFAA #democracia  #supremoéopovo em CMO Comando Militar do Oeste 9ª Região Militar url"
000015	"""SUPREMO É O POVO!"" #manifestaçãopacífica  #liberdade #SOSFFAA #democracia  #supremoéopovo🇧🇷 em CMO Comando Militar do Oeste 9ª Região Militar url"
001582	"""Se vc não tem liberdade de expressão, não tem democracia"". Furar a bolha internacional, é o 1° passo para legitimar uma ação,dentro da CF88,da derrubada da ditadura da toga. Só acho  #STFVergonhaMundial url"
001059	"""Se você não tem liberdade de expressão, você NÃO TEM democracia""... Simples assim! #STFRompeuaDemocracia  #TSERompeuaDemocracia url"
001515	"""Sr. Barroso, Eu quero dizer que eu viajei 10 horas para te dizer o que uma parcela da população tambem quer: Você e outros ministros soltaram um bandido e quer elegê-lo em uma fr.""  #forabarroso #liberdade #liberdadedeexpressão #stfpartidopolitico #stfvergonha #eleicoes2022 url"
000177	"""fica em casa a economia a gente vê depois""; hipocrisia! Agora os apresentadores que não pararam de trabalhar um dia, vem com papinho de que tá tudo caro. Quando não sabe passar uma informação sem ser imparcial é melhor fazer só fofoca. #SupremoEoPovo #LiberdadeDeExpressao"
000711	# Opovobrasileiroexigeocodigofonte MANUFESTAÇAO DO POVO É  LEGÍTIMA NÃO  PODEMOS ACEITAR UMA ELEIÇÃO  DUVIDOSA #STFVergonhaMundial  #STFOrganizacaoCriminosa  #Queremosocodigofintedasurnas #Liberdade
001342	#0709EuVou  #STFRompeuADemocracia  #LiberdadeNaoSeGanhaSeToma  #BolsonaroPresidenteAte2026 url
000307	#0709EuVou  #SUPREMOÉOPOVO  #LiberdadeNaoSeGanhaSeToma  #BolsonaroPresidenteAte2026 url
000298	#0709EuVou  #SUPREMOÉOPOVO  #LiberdadeNaoSeGanhaSeToma  #BolsonaroPresidenteAte2026🇧🇷🇧🇷 url
000299	#0709EuVou  #SUPREMOÉOPOVO  #LiberdadeNaoSeGanhaSeToma  #IntervençãoFederalComBOLSONAROnoPoder url
000297	#0709EuVou  #SUPREMOÉOPOVO  #LiberdadeNaoSeGanhaSeToma  #STFRompeuADemocracia  #BolsonaroPresidenteAte2026 url
000295	#0709EuVou  #SUPREMOÉOPOVO  #STFcrashedDemocracyInBrazil  #LiberdadeNaoSeGanhaSeToma  #BolsonaroPresidenteAte2026 url
001303	#0709EuVou E você?? #LiberdadeNaoSeGanhaSeToma  #STFcrashedDemocracyInBrazil  #STFRompeuADemocracia  #stfmafiadopcc url
001095	#07SetembroSeraGigante #07SetembrotodosnasRuas #LiberdadeDeExpressaoPlena  #STFRompeuADemocracia  #ForaAlexandredeMorais #Mito22 #TacisioGovernador url
001243	#07deSetembropelaLiberdade #EuAutorizoPresidente #LiberdadeParaRobertoJefferson  #STFRompeuADemocracia url
000213	#7DeSetembro  #HojeVaiSerGigante  #Liberdade  #SupremoEoPovo url
000101	#7SetembroFoiGIGANTE #AvPaulista #Liberdade de expressão e opinião! #stfVERGONHANACIONAL #RespeitemAConstituição #SUPREMOEOPOVO url
000185	#7deSetPelaLiberdade  #SupremoEoPovo  #Bolsonaro2022  #Liberdade url
000229	#7deSetPelaLiberdade #Liberdade #SupremoEoPovo
000942	#7deSetembroVaiSerGigante #STFOrganizacaoCriminosa #Liberdade url
000252	#7deSetembroVaiSerGigante já começou e, independente da sua posição, é muito bom ver que ainda se pode opinar! #LiberdadeDeExpressao #liberdadedeopiniao #SupremoÉOPovo
001090	#7desetembro  #Liberdade  #STFRompeuADemocracia #setedesetembro  #STFVergonhaMundial  #Stfinquiziçao url
000681	#ATEUSFILHOSDAPUTA   #STFLIXO   #LIBERDADEXPRESSÃO! #PUTOS..
001614	#Absurdo #Censura #Brasil #STFVergonhaMundial  #TSEOrganizacaoCriminosa   #LIBERDADE #SOSBrasil #GLO #ForcasArmadasSalvemOBrasil  Br4s1l W4s St0l3m  Censura em vários canais... url
000393	#AlexandreDeMoraesDitador  #LiberdadeParaRobertoJefferson url
000425	#AlexandreDeMoraesDitador  #STFInimigoDoBrasil  #STFLixo  #NaoaPL2630  #PL2630Nao  #LiberdadedeExpressao url
000414	#AlexandreDeMoraesDitador  ao meu ver temos que entrar com um processo coletivo contra esse ditador por abuso de poder, liberdade de expressão faz parte da democracia não podemos nos calar. Moraes você é uma vergonha.
000440	#AlexandreDeMoraesDitador  liberdade de expressão na internet e de todo Brasileiro não podem prender-nos
000392	#AlexandreDeMoraesDitador #AlexandreDeMoraesPreso #DitaduraDoStf #Liberdade
000446	#AlexandreDeMoraesDitador manda prender manifestante, q usava as suas condições do livre manifesto pacífico e da liberdade de expressão, que conta na nossa Constituição Federal. Os guardiões da constituição é igual raposas  cuidando de ovelhas.  #ConstituiçãoLivroDePiadas.
000437	#AlexandreDeMoraesInimigoDoBrasil  #AlexandreDeMoraesDitador  #Liberdade
000568	#AlexandreDeMoraesNaCadeia  #LiberdadeDeExpressao
000537	#AlexandreDeMoraesNaCadeia  #liberdade #nãoaditadura liberdade de expressão ate mesmo para esse idiota ai url
000590	#AlexandreDeMoraesNaCadeia  No final das contas quem cometia atos antidemocráticos era o próprio #STFVergonhaNacional, privando pessoas da sua liberdade de expressão.
000535	#AlexandreDeMoraesNaCadeia #BiaKicisNaCCJSim que acinte a #liberdadedeexpressao #exercito #ImpeachmentAlexandreDeMoraes url
000555	#AlexandreDeMoraesNaCadeia #BiaNaCCJSim #liberdadeparaOswaldoEustaquio
000528	#AlexandreDeMoraesNaCadeia #DanielSilveiraFalouPeloPovo #DanielSilveralivrehoje #STFVergonhaNacional #STFOrganizacaoCriminosa #STFVergonhaMundial #ImpeachmentAlexandreDeMoraes #SomosTodosDanielSilveira #LiberdadeparaDanielSilveiraJa #DitaduraDaToga #ForaGilmarMendes #Exercito url
000517	#AlexandreDeMoraesNaCadeia #STFinimigoDoPovoBrasileiro #LiberdadeAoBobJeff #XandaoDoPCC #STFOrganizacaoCriminosa #STFVergonhaMundial #GloboLixo #autoritarismojudicial #BarrosoNaCadeia #BarrosoPrevaricou
000519	#AlexandreDeMoraesNaCadeia #alexandredemoraesinimigodobrasil #somostodosrobertojefferson #stfvergonhanacional #luladrãonacadeia #liberdade #salveademocraciabrasileira #liberdadedeexpressão
000579	#AlexandreDeMoraesNaCadeia #liberdadeparaoswaldoeustaquio
000553	#AlexandreDeMoraesNaCadeia #liberdadeparaoswaldoeustaquio #BiaKicisNaCCJSim
000575	#AlexandreDeMoraesNaCadeia #liberdadeparaoswaldoeustaquio url
000589	#AlexandreDeMoraesNaCadeia A policia Federal  já disse não ter encontrado nada. Esse vagabundo cabeça de piroca na cadeia já. #LiberdadeParaOsvaldoEustaquio ja
000488	#AlexandreDeMoraesNaCadeia Musk, vamos continuar a demitir esses censores que militam no Twitter Brasil. Liberdade de expressão, já. Alexandre de Morais na cadeia, já
000573	#AlexandreDeMoraesNaCadeia o verdadeiro ditador contra a democracia ea a liberdade de expressão
000600	#AlexandreDeMoraesNaCadeia por abuso de poder, cerceamento de liberdade de expressão e por fazer alusão a regime ditatorial e por colocar em risco a democracia brasileira. 
000304	#AlexandreDeMoraisNaCadeia  #SUPREMOÉOPOVO  #LiberdadeNaoSeGanhaSeToma url
000506	#AlexandredeMoraesnaCadeia #LiberdadeParaRobertoJefferson #LiberdadeparaDanielSilveiraJa #Dia7VaiSerGIGANTESCO url
000254	#Amanhatemdesergigante #FechadoComBolsonaroAte2026 #SupremoÉOPovo #liberdade url
000870	#ApoioDanielSilveira e quero que seja liberado assim como a liberdade de expressão no Brasil! #STFOrganizacaoCriminosa url
001209	#BandLixo #STFRompeuADemocracia #LiberdadeDeExpressao
001812	#BarrosoNaCadeia  #ImpeachmentAlexandreDeMoraes  #STFVergonhaMundial  #LiberdadeParaRobertoJefferson  #SenadoCovarde  #PachecoCONIVENTE
000552	#BiaKicisNaCCJSim #AlexandreDeMoraesNaCadeia #liberdadeparaoswaldoeustaquio #liberdadedeexpressao url
000557	#BiaNaCCJ #STFNaoGoverna #BiaNaCCJSim #AlexandreDeMoraesNaCadeia #ForaGilmarMendes #liberdadeparaOswaldoEustaquio #MoroTraidordaPatria
000388	#Bolsonaro #LiberdadeDeExpressão #STFVergonhaMundial #Alexandredemoraesditador
001777	#Bolsonaro2022  #STFVergonhaMundial  #LiberdadeParaRobertoJefferson  #liberdadedeexpressão url
000939	#BolsonaroOrgulhoDoBrasil #BolsonaroAte2026 #Bolsonaro2022 #BolsonaroReeleito #STFRompeuADemocracia #STFVergonhaNacional #STFOrganizacaoCriminosa #stfinimigodopovobrasileiro #STFVergonhaNacional #LiberdadeParaRobertoJefferson #LiberdadeDeExpressao #Libertadores url
000284	#BolsonaroPresidente #Bolsonaro2022 #BolsonaroReeleito #BrasilAcimaDeTudoDeusAcimaTodos #7deSetembroVaiSerGigante #SupremoÉOPovo   #TodoPoderEmanaDoPovo  #Dia7VaiSerGigante #DemocraciaJá  #LiberdadeDeExpressão
000752	#BolsonaroPresidente22  #LulaLadrãoSeuLugarEnaPrisão  #STFOrganizacaoCriminosa  #TSEOrganizacaoCriminosa  #capitaodopovo  #LiberdadeDeExpressaoPlena url
