Essa esse
é ser
a o
hora hora
de de
acabar acabar
com com
todos todo
os o
absurdos absurdo
de de
decisões decisão
inconstitucionais inconstitucional
e e
muitas muito
das de_o
vezes vez
monocromáticas monocromático
e e
também também
um um
boa boa
faxina faxina
acabando acabar
com com
as o
regalias regalia
exorbitantes exorbitante
de de
semideuses semideus
Isso isso
é ser
pelo por_o
Brasil brasil
! !
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#obrasilfoiroubado_h #obrasilfoiroubado_h
HASHTAG hashtag
#sosffaa_h #sosffaa_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
HASHTAG hashtag
#intervencaofederal_h #intervencaofederal_h
url url
