@mitags twitterhandle
Foi ser
só só
uma um
transferência transferência
da de_o
matriz matriz
para para
filial filial
, ,
tudo tudo
normal normal
, ,
mas mas
não não
vou ir
postar postar
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
nem nem
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
pois pois
tenho ter
medo medo
de de
ser ser
preso prender
, ,
quando quando
o o
Brasil brasil
voltar voltar
a a
ser ser
uma um
DEMOCRACIA democracia
com com
direito direito
a o
LIBERDADE liberdade
DE de
EXPRESSÃO expressão
quem quem
sabe saber
posto posto
. .
