@STF_oficial twitterhandle
KKKKKK kkkkkk
. .
Liberdade liberdade
de de
expressão expressão
desde desde
que que
não não
chamem chamar
os o
corruptos corrupto
do de_o
STF stf
de de
CORRUPTOS corrupto
. .
Vcs vcs
são ser
canalhas canalha
, ,
vcs vcs
propagam propagar
a o
ditadura ditadura
da de_o
mordaça mordaça
contra contra
o o
cidadão cidadão
de de
bem bem
, ,
lamentávelmente lamentávelmente
vcs vcs
se se
prestam prestar
ao a_o
trabalho trabalho
de de
defender defender
bandidos bandido
, ,
vcs vcs
são ser
uma um
vergonha vergonha
. .
. .
. .
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
