@rpsenador twitterhandle
corre correr
aqui aqui
que que
tem ter
um um
recadinho recadinho
pra pra
você você
: :
Você você
não não
pode poder
esquecer esquecer
dos de_o
seus seu
patrões patrão
: :
o o
POVO povo
! !
Estamos estar
te tu
lembrando lembrar
: :
O o
PODER poder
EMANA emanar
DO de_o
POVO povo
! !
Tem ter
que que
ter ter
harmonia harmonia
com com
TODOS todo
OS os
PODERES poder
! !
E e
sem sem
USURPAÇÃO usurpação
! !
HASHTAG hashtag
#respeitemaconstituicao_h #respeitemaconstituicao_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
url url
