Querem querer
acabar acabar
com com
a o
SUA seu
liberdade liberdade
de de
expressão expressão
. .
Não não
importa importar
se se
você você
é ser
de de
direita direita
, ,
esquerda esquerda
ou ou
centro centro
. .
. .
. .
ontem ontem
demos dar
um um
passo passo
para para
trás trás
. .
Não não
fique ficar
calado calar
! !
Brigue brigue
, ,
use usar
as o
armas arma
que que
você você
tem ter
. .
O o
HASHTAG hashtag
#stf_h #stf_h
não não
pode poder
ficar ficar
impune impune
. .
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#stflixo_h #stflixo_h
HASHTAG hashtag
#stfnacadeia_h #stfnacadeia_h
