@ArthurLira_ twitterhandle
Nao nao
permita permitir
presidente presidente
que que
se se
consolide consolidar
o o
crime crime
de de
opinião opinião
nesse em_esse
país país
. .
Quantos quanto
paraplégicos paraplégico
serão ser
necessários necessário
pra pra
tomarmos tomar
uma um
atitude atitude
? ?
Faça fazer
mais mais
que que
política político
, ,
faça fazer
história história
presidente presidente
. .
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
HASHTAG hashtag
#liberdadedeopiniao_h #liberdadedeopiniao_h
HASHTAG hashtag
#alexandredemoraesnacadeia_h #alexandredemoraesnacadeia_h
