Um um
tirano tirano
no em_o
poder poder
que que
precisa precisar
ser ser
impedido impedir
. .
Artigo artigo
5° 5°
da de_o
Constituição constituição
IV iv
- -
é ser
livre livre
a o
manifestação manifestação
do de_o
pensamento pensamento
, ,
sendo ser
vedado vedar
o o
anonimato anonimato
HASHTAG hashtag
#foraalexandredemoraes_h #foraalexandredemoraes_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
HASHTAG hashtag
#ditaduranuncamais_h #ditaduranuncamais_h
HASHTAG hashtag
#ditaduradostf_h #ditaduradostf_h
HASHTAG hashtag
#ditaduranão_h #ditaduranão_h
HASHTAG hashtag
#liberdadedeexpressão_h #liberdadedeexpressão_h
url url
