Imunidade imunidade
parlamentar parlamentar
só só
é ser
válida válido
se se
vc vc
matar matar
seu seu
cônjuge cônjuge
. .
Fora fora
isso isso
, ,
é ser
crime crime
, ,
é ser
atentado atentar
à a_o
democracia democracia
e e
ao a_o
estado estado
democrático democrático
ede ede
direito direito
. .
Exercer exercer
liberdade liberdade
de de
expressão expressão
prohibited_e prohibited_e
PRESO preso
Matar matar
o o
marido marido
check_mark_button_e check_mark_button_e
LIVRE livre
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#alexandredemoraesnacadeia_h #alexandredemoraesnacadeia_h
