Se se
apenas apenas
a o
UNIÃO união
pode poder
legislar legislar
sobre sobre
telecomunicações telecomunicação
, ,
pq pq
raios raio
a o
b*sta b*sta
do de_o
HASHTAG hashtag
#stforganizaçãocriminosa_h #stforganizaçãocriminosa_h
está estar
tomando tomar
decisões decisão
q q
ferem ferir
cláusulas cláusula
pétreas pétreo
da de_o
Constituição constituição
Federal federal
( (
liberdade liberdade
de de
expressão expressão
) )
e e
pactos pacto
internacionais internacional
? ?
Censura censura
é ser
crime crime
, ,
$ini$tro$ $ini$tro$
malditos maldizer
! !
Fuzilamento fuzilamento
é ser
pouco pouco
! !
url url
