Tem ter
deus deus
do de_o
Olimpo olimpo
com com
medo medo
do de_o
povo povo
? ?
Como como
assim assim
, ,
com com
medo medo
do de_o
povo povo
? ?
Mas mas
, ,
não não
dizem dizer
ser ser
os o
guardiões guardião
da de_o
democracia democracia
? ?
Só só
desconheço desconhecer
DEMOCRACIA democracia
sem sem
LIBERDADE liberdade
DE de
EXPRESSÃO expressão
e e
SEM sem
POVO povo
Agora agora
lembrei lembrar
de de
meus meu
tempos tempo
de de
escola escola
: :
Povo povo
Unido unido
, ,
jamais jamais
será ser
vencido vencer
! !
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
