@TSEjusbr twitterhandle
Queremos querer
respostas resposta
, ,
queremos querer
transparências transparência
dos de_o
fatos fato
. .
Chega chegar
de de
segredos segredo
. .
HASHTAG hashtag
#audienciapublica_h #audienciapublica_h
HASHTAG hashtag
#brazilwasstollen_h #brazilwasstollen_h
HASHTAG hashtag
#direitoconstitucional_h #direitoconstitucional_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#povonasruas_h #povonasruas_h
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
flag_brazil_e flag_brazil_e
flexed_biceps_light_skin_tone_e flexed_biceps_light_skin_tone_e
