É ser
um um
absurdo absurdo
, ,
o o
STF stf
, ,
obrigar obrigar
alguém alguém
a a
vir vir
pedir pedir
desculpas desculpa
, ,
por por
expressar expressar
sua seu
opinião opinião
em em
sua seu
rede rede
social social
. .
Lamentável lamentável
, ,
deplorável deplorável
. .
Um um
crime crime
contra contra
a o
democracia democracia
e e
a o
liberdade liberdade
de de
expressão expressão
. .
@andrevaladao twitterhandle
HASHTAG hashtag
#naoacensura_h #naoacensura_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
HASHTAG hashtag
#censuranao_h #censuranao_h
