Quer querer
dizer dizer
q q
além além
de de
censurar censurar
o o
direito direito
à a_o
livre livre
expressão expressão
agora agora
, ,
IMPEDEM impedir
o o
cidadão cidadão
de de
trabalhar trabalhar
? ?
Eles eles
pensam pensar
q q
todo todo
mundo mundo
vive viver
às a_o
custas custa
do de_o
dinheiro dinheiro
suado suar
do de_o
trabalhador trabalhador
brasileiro brasileiro
e e
vivem viver
de de
comprar comprar
lagostas lagosta
e e
vinhos vinho
importados importar
? ?
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
url url
