@STF_oficial twitterhandle
Ministro ministro
Fux fux
disse dizer
" "
ninguém ninguém
fechará fechar
esta este
Corte corte
" "
. .
E e
qm qm
disse dizer
em em
fechar fechar
o o
Supremo supremo
? ?
O o
povo povo
apenas apenas
pede pedir
q q
não não
hajam haver
mais muito
decisões decisão
inconstitucionais inconstitucional
e e
abusos abuso
contra contra
a o
liberdade liberdade
de de
expressão expressão
. .
É ser
assim assim
q q
as o
narrativas narrativo
são ser
alimentadas alimentar
! !
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stfvergonha_h #stfvergonha_h
