Até até
quando quando
um um
país país
democrático democrático
, ,
permitirá permitir
que que
um um
déspota déspota
a a
fronte fronte
assim assim
a o
liberdade liberdade
de de
expressão expressão
de de
um um
parlamentar parlamentar
, ,
daqui de_aqui
a a
pouco pouco
não não
poderemos poder
chamá chamá
-lo ele
de de
cabeça cabeça
de de
ovo ovo
ou ou
defensor defensor
de de
pcc pcc
pouting_face_e pouting_face_e
unamused_face_e unamused_face_e
HASHTAG hashtag
#alexandredemoraesnacadeia_h #alexandredemoraesnacadeia_h
HASHTAG hashtag
#prisaodoalexandredemoraes_h #prisaodoalexandredemoraes_h
HASHTAG hashtag
#impeachmentalexandredemoraes_h #impeachmentalexandredemoraes_h
url url
