@RenovaMidia twitterhandle
Mais mais
uma um
ladainha ladainha
desse de_esse
aí aí
sem sem
fundamento fundamento
jurídico jurídico
. .
Fala falar
tanto tanto
em em
milícias milícia
digitais digital
e e
até até
agora agora
nada nada
concreto concreto
. .
Não não
esquecer esquecer
que que
eles eles
estão estar
cometendo cometer
crimes crime
contra contra
a o
liberdade liberdade
de de
expressão expressão
, ,
invasão invasão
de de
privacidade privacidade
e e
outras outro
atrocidades atrocidade
por por
uma um
investigação investigação
ilegal ilegal
. .
HASHTAG hashtag
#stfvergonha_h #stfvergonha_h
