É ser
, ,
pessoal pessoal
! !
Absurda absurdo
essa esse
história história
do de_o
dep dep
. .
federal federal
@danielPMERJ twitterhandle
que que
perdeu perder
sua seu
imunidade imunidade
parlamentar parlamentar
em em
mais mais
uma um
decisão decisão
autoritária autoritário
do de_o
HASHTAG hashtag
#cabeçadeovo_h #cabeçadeovo_h
. .
url url
HASHTAG hashtag
#danielsilveirapreso_h #danielsilveirapreso_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#imunidadeparlamentar_h #imunidadeparlamentar_h
HASHTAG hashtag
#crimedeodio_h #crimedeodio_h
HASHTAG hashtag
#inqueritodasfakenews_h #inqueritodasfakenews_h
