@FernandoHoliday twitterhandle
Sim sim
, ,
participou participar
mas mas
assumiu assumir
e e
delatou delatar
o o
mar mar
de de
lama lama
que que
é ser
Brasília brasília
, ,
mas mas
depois depois
disso de_isso
nada nada
mais mais
foi ser
comprovado comprovar
contra contra
ele ele
, ,
e e
ele ele
foi ser
homem homem
de de
assumir assumir
seu seu
erro erro
, ,
ao a_o
contrário contrário
de de
outros outro
que que
nunca nunca
assumem assumir
. .
HASHTAG hashtag
#liberdadepararobertojefferson_h #liberdadepararobertojefferson_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
