A a
cada cada
dia dia
que que
passa passar
, ,
eu eu
fico ficar
impressionado impressionar
como como
o o
Xandão xandão
está estar
neurótico neurótico
. .
O o
@SenadoFederal twitterhandle
precisa precisar
votar votar
o o
impeachment impeachment
desse de_esse
senhor senhor
. .
HASHTAG hashtag
#censuranao_h #censuranao_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
HASHTAG hashtag
#nikolasferreira_h #nikolasferreira_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
