Tem ter
muito muito
parlamentar parlamentar
achando achar
absurdo absurdo
a o
prisão prisão
de de
Daniel daniel
Silveira silveira
, ,
quero querer
ver ver
quantos quanto
dos de_o
que que
falam falar
vão ir
honrar honrar
o o
voto voto
que que
receberam receber
pra pra
fazer fazer
algo algo
à a_o
respeito respeito
. .
NÃO não
VOTO votar
EM em
QUEM quem
TRAIU trair
MEU meu
VOTO voto
E e
MINHA meu
LIBERDADE liberdade
DE de
EXPRESSÃO expressão
! !
! !
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
