Cala calar
a o
boca boca
racista racista
, ,
já já
esqueceu esquecer
o o
motivo motivo
pelo por_o
qual qual
foi ser
despedido despedir
da de_o
HASHTAG hashtag
#globolixo_h #globolixo_h
? ?
O o
presidente presidente
EXIGE exigir
q q
o o
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
cumpra cumprir
à a_o
Constituição constituição
como como
todo todo
brasileiro brasileiro
e e
respeite respeitar
o o
direito direito
de de
ir ir
e e
vir vir
e e
de de
liberdade liberdade
de de
expressão expressão
e e
pare parar
de de
perseguir perseguir
pessoas pessoa
pondo pôr
todos todo
na em_o
cadeia cadeia
! !
url url
