Estamos estar
em em
Copacabana copacabana
lutando lutar
pela por_o
liberdade liberdade
de de
expressão expressão
. .
Chega chegar
de de
ditadura ditadura
da de_o
toga toga
. .
Isso isso
aqui aqui
é ser
democracia democracia
flag_brazil_e flag_brazil_e
. .
Vamos ir
patriotas patriota
oncoming_fist_e oncoming_fist_e
. .
HASHTAG hashtag
#7desetpelaliberdade_h #7desetpelaliberdade_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
HASHTAG hashtag
#foraalexandremoraes_h #foraalexandremoraes_h
HASHTAG hashtag
#forabarroso_h #forabarroso_h
HASHTAG hashtag
#impeachmentalexandredemoraes_h #impeachmentalexandredemoraes_h
url url
